feature,importance
inpatient_admissions,0.546933036606164
inpatient_ratio,0.08493856437538304
ed_visits,0.07231240386547158
total_encounters,0.06343725918058145
encounters_per_month,0.04784042067272547
sdoh_total_screenings,0.03771691240290506
unique_departments,0.03741008954338795
ed_ratio,0.02593735542799868
span_days,0.019480110148208014
unique_diagnoses,0.017147607355075447
diag_chapter_count,0.01446824117833715
approx_age,0.00771081973339597
sdoh_unique_domains,0.0051848303957746636
has_circulatory_diag,0.00428284957301364
has_endocrine_diag,0.0028433469319489708
has_mental_diag,0.0020790894614078313
sdoh_social_connections,0.0012792317853491534
sdoh_depression,0.0011902394045078932
sdoh_intimate_partner_violance,0.0011445028621178295
sdoh_physical_activity,0.001052686604463095
sdoh_stress,0.0009791825717046594
sdoh_housing_stability,0.0008528720951483365
sdoh_alcohol_use,0.0007490391147381009
sdoh_transportation_needs,0.0006617752256167122
sdoh_utilities,0.000658424057637952
sdoh_financial_resource_strain,0.0006421038927827328
sdoh_food_insecurity,0.0005893938392997085
is_female,0.0004776116948548848
is_smoker,0.0
